ICD10 Code,Description,Type of Surgery,Body Part,Index
0DTF0,"Resection of Right Large Intestine, Open Approach",General Surgery,General,13
0YQ50,"Repair Right Inguinal Region, Open Approach",General Surgery,General,13
0D160,"Bypass Stomach to Cutaneous with Autologous Tissue Substitute, Open Approach
Bypass Stomach to Duodenum with Autologous Tissue Substitute, Open Approach
Bypass Stomach to Jejunum with Autologous Tissue Substitute, Open Approach
Bypass Stomach to Ileum with Autologous Tissue Substitute, Open Approach
Bypass Stomach to Transverse Colon with Autologous Tissue Substitute, Open Approach",Valve Replacement,Cardiac,1
0UJD8,"Inspection of Uterus and Cervix, Via Natural or Artificial Opening Endoscopic",General Surgery,General,13
0GTK4,"Resection of Thyroid Gland, Percutaneous Endoscopic Approach",Thyroid Surgery,Endocrine,11
0HX0X,"Transfer Scalp Skin, External Approach",General Surgery,General,13
0N0R0,,General Surgery,General,13
00QT0,"Repair Spinal Meninges, Open Approach",General Surgery,General,13
07B00,"Excision of Head Lymphatic, Open Approach, Diagnostic
Excision of Head Lymphatic, Open Approach",General Surgery,General,13
0QHD0,"Insertion of Internal Fixation Device into Right Patella, Open Approach
Insertion of External Fixation Device into Right Patella, Open Approach",General Surgery,General,13
0SRA0,"Replacement of Right Hip Joint, Acetabular Surface with Polyethylene Synthetic Substitute, Cemented, Open Approach
Replacement of Right Hip Joint, Acetabular Surface with Polyethylene Synthetic Substitute, Uncemented, Open Approach
Replacement of Right Hip Joint, Acetabular Surface with Polyethylene Synthetic Substitute, Open Approach
Replacement of Right Hip Joint, Acetabular Surface with Metal Synthetic Substitute, Cemented, Open Approach
Replacement of Right Hip Joint, Acetabular Surface with Metal Synthetic Substitute, Uncemented, Open Approach",Orthopedic Surgery,Orthopedic,5
09BK8,"Excision of Nasal Mucosa and Soft Tissue, Via Natural or Artificial Opening Endoscopic, Diagnostic
Excision of Nasal Mucosa and Soft Tissue, Via Natural or Artificial Opening Endoscopic",General Surgery,General,13
0PQ00,"Repair Sternum, Open Approach",General Surgery,General,13
0RG00,"Fusion of Occipital-cervical Joint with Autologous Tissue Substitute, Anterior Approach, Anterior Column, Open Approach
Fusion of Occipital-cervical Joint with Autologous Tissue Substitute, Posterior Approach, Posterior Column, Open Approach
Fusion of Occipital-cervical Joint with Autologous Tissue Substitute, Posterior Approach, Anterior Column, Open Approach
Fusion of Occipital-cervical Joint with Interbody Fusion Device, Anterior Approach, Anterior Column, Open Approach
Fusion of Occipital-cervical Joint with Interbody Fusion Device, Posterior Approach, Anterior Column, Open Approach",Orthopedic Surgery,Orthopedic,5
02Q50,"Repair Atrial Septum, Open Approach",General Surgery,General,13
07BM0,"Excision of Thymus, Open Approach, Diagnostic
Excision of Thymus, Open Approach",General Surgery,General,13
00B00,"Excision of Brain, Open Approach, Diagnostic
Excision of Brain, Open Approach",Brain Surgery,Neurological,2
0BTK4,"Resection of Right Lung, Percutaneous Endoscopic Approach",Lung Surgery,Pulmonary,9
0TY00,"Transplantation of Right Kidney, Allogeneic, Open Approach
Transplantation of Right Kidney, Syngeneic, Open Approach
Transplantation of Right Kidney, Zooplastic, Open Approach",Kidney Transplant,Renal,3
0TB04,"Excision of Right Kidney, Percutaneous Endoscopic Approach, Diagnostic
Excision of Right Kidney, Percutaneous Endoscopic Approach",Kidney Transplant,Renal,3
0DQQ0,"Repair Anus, Open Approach",General Surgery,General,13
0HBV0,"Excision of Bilateral Breast, Open Approach, Diagnostic
Excision of Bilateral Breast, Open Approach",Breast Surgery,Breast,10
0FT44,"Resection of Gallbladder, Percutaneous Endoscopic Approach",Urinary Surgery,Renal,3
0VT00,"Resection of Prostate, Open Approach",General Surgery,General,13
0HBT0,"Excision of Right Breast, Open Approach, Diagnostic
Excision of Right Breast, Open Approach",Breast Surgery,Breast,10
06BY0,"Excision of Hemorrhoidal Plexus, Open Approach
Excision of Lower Vein, Open Approach, Diagnostic
Excision of Lower Vein, Open Approach",General Surgery,General,13
0TB10,"Excision of Left Kidney, Open Approach, Diagnostic
Excision of Left Kidney, Open Approach",Kidney Transplant,Renal,3
0SBC0,"Excision of Right Knee Joint, Open Approach, Diagnostic
Excision of Right Knee Joint, Open Approach",Hip Replacement,Orthopedic,5
0PB30,"Excision of Cervical Vertebra, Open Approach, Diagnostic
Excision of Cervical Vertebra, Open Approach",General Surgery,General,13
00BT0,"Excision of Spinal Meninges, Open Approach, Diagnostic
Excision of Spinal Meninges, Open Approach",General Surgery,General,13
0PHQ0,"Insertion of Internal Fixation Device into Left Metacarpal, Open Approach
Insertion of External Fixation Device into Left Metacarpal, Open Approach",General Surgery,General,13
0DB64,"Excision of Stomach, Percutaneous Endoscopic Approach, Vertical
Excision of Stomach, Percutaneous Endoscopic Approach, Diagnostic
Excision of Stomach, Percutaneous Endoscopic Approach",General Surgery,General,13
08R43,"Replacement of Right Vitreous with Autologous Tissue Substitute, Percutaneous Approach
Replacement of Right Vitreous with Synthetic Substitute, Percutaneous Approach
Replacement of Right Vitreous with Nonautologous Tissue Substitute, Percutaneous Approach",General Surgery,General,13
00940,"Drainage of Intracranial Subdural Space, Open Approach, Diagnostic
Drainage of Intracranial Subdural Space, Open Approach
Drainage of Intracranial Subdural Space with Drainage Device, Open Approach",General Surgery,General,13
0WBC0,"Excision of Mediastinum, Open Approach, Diagnostic
Excision of Mediastinum, Open Approach",General Surgery,General,13
0BBK4,"Excision of Right Lung, Percutaneous Endoscopic Approach, Diagnostic
Excision of Right Lung, Percutaneous Endoscopic Approach",Lung Surgery,Pulmonary,9
0VB07,"Excision of Prostate, Via Natural or Artificial Opening, Diagnostic
Excision of Prostate, Via Natural or Artificial Opening",General Surgery,General,13
0DTP4,"Resection of Rectum, Percutaneous Endoscopic Approach",General Surgery,General,13
0DBS0,,General Surgery,General,13
0H0T0,"Alteration of Right Breast with Autologous Tissue Substitute, Open Approach
Alteration of Right Breast with Synthetic Substitute, Open Approach
Alteration of Right Breast with Nonautologous Tissue Substitute, Open Approach
Alteration of Right Breast, Open Approach",Breast Surgery,Breast,10
0VB04,"Excision of Prostate, Percutaneous Endoscopic Approach, Diagnostic
Excision of Prostate, Percutaneous Endoscopic Approach",General Surgery,General,13
0HBU0,"Excision of Left Breast, Open Approach, Diagnostic
Excision of Left Breast, Open Approach",Breast Surgery,Breast,10
0WB00,"Excision of Head, Open Approach, Diagnostic
Excision of Head, Open Approach",General Surgery,General,13
0UT94,"Resection of Uterus, Supracervical, Percutaneous Endoscopic Approach
Resection of Uterus, Percutaneous Endoscopic Approach",General Surgery,General,13
0QH83,"Insertion of Internal Fixation Device into Right Femoral Shaft, Percutaneous Approach
Insertion of External Fixation Device into Right Femoral Shaft, Percutaneous Approach
Insertion of Intramedullary Internal Fixation Device into Right Femoral Shaft, Percutaneous Approach
Insertion of Intramedullary Limb Lengthening Internal Fixation Device into Right Femoral Shaft, Percutaneous Approach
Insertion of Limb Lengthening External Fixation Device into Right Femoral Shaft, Percutaneous Approach",General Surgery,General,13
0SWB0,"Revision of Drainage Device in Left Hip Joint, Open Approach
Revision of Infusion Device in Left Hip Joint, Open Approach
Revision of Internal Fixation Device in Left Hip Joint, Open Approach
Revision of External Fixation Device in Left Hip Joint, Open Approach
Revision of Autologous Tissue Substitute in Left Hip Joint, Open Approach",Orthopedic Surgery,Orthopedic,5
0MQN0,"Repair Right Knee Bursa and Ligament, Open Approach",Hip Replacement,Orthopedic,5
0LQ24,"Repair Left Shoulder Tendon, Percutaneous Endoscopic Approach",General Surgery,General,13
07B50,"Excision of Right Axillary Lymphatic, Open Approach, Diagnostic
Excision of Right Axillary Lymphatic, Open Approach",General Surgery,General,13
09R00,"Replacement of Right External Ear with Autologous Tissue Substitute, Open Approach
Replacement of Right External Ear with Synthetic Substitute, Open Approach
Replacement of Right External Ear with Nonautologous Tissue Substitute, Open Approach",Ear Surgery,ENT,6
09BB0,"Excision of Right Mastoid Sinus, Open Approach, Diagnostic
Excision of Right Mastoid Sinus, Open Approach",Tympanoplasty,ENT,6
0HB00,,General Surgery,General,13
09QMX,,General Surgery,General,13
09D70,"Extraction of Right Tympanic Membrane, Open Approach",General Surgery,General,13
0B110,"Bypass Trachea to Esophagus with Intraluminal Device, Open Approach
Bypass Trachea to Cutaneous with Tracheostomy Device, Open Approach
Bypass Trachea to Cutaneous, Open Approach",Valve Replacement,Cardiac,1
02QM0,"Repair Ventricular Septum, Open Approach",General Surgery,General,13
0BTF4,"Resection of Right Lower Lung Lobe, Percutaneous Endoscopic Approach",Lung Surgery,Pulmonary,9
0ABD0,,General Surgery,General,13
0V900,"Drainage of Prostate with Drainage Device, Open Approach
Drainage of Prostate, Open Approach, Diagnostic
Drainage of Prostate, Open Approach",General Surgery,General,13
0FT20,"Resection of Left Lobe Liver, Open Approach",Liver Surgery,Hepatic,8
03120,"Bypass Innominate Artery to Right Upper Arm Artery with Autologous Venous Tissue, Open Approach
Bypass Innominate Artery to Left Upper Arm Artery with Autologous Venous Tissue, Open Approach
Bypass Innominate Artery to Bilateral Upper Arm Artery with Autologous Venous Tissue, Open Approach
Bypass Innominate Artery to Right Lower Arm Artery with Autologous Venous Tissue, Open Approach
Bypass Innominate Artery to Left Lower Arm Artery with Autologous Venous Tissue, Open Approach",Valve Replacement,Cardiac,1
0DT60,"Resection of Stomach, Open Approach",General Surgery,General,13
0VBF0,"Excision of Right Spermatic Cord, Open Approach, Diagnostic
Excision of Right Spermatic Cord, Open Approach",General Surgery,General,13
0P800,"Division of Sternum, Open Approach",General Surgery,General,13
0PHJ0,"Insertion of Internal Fixation Device into Left Radius, Open Approach
Insertion of External Fixation Device into Left Radius, Open Approach
Insertion of Intramedullary Internal Fixation Device into Left Radius, Open Approach
Insertion of Limb Lengthening External Fixation Device into Left Radius, Open Approach
Insertion of Monoplanar External Fixation Device into Left Radius, Open Approach",General Surgery,General,13
08Q8X,"Repair Right Cornea, External Approach",General Surgery,General,13
0PHH0,"Insertion of Internal Fixation Device into Right Radius, Open Approach
Insertion of External Fixation Device into Right Radius, Open Approach
Insertion of Intramedullary Internal Fixation Device into Right Radius, Open Approach
Insertion of Limb Lengthening External Fixation Device into Right Radius, Open Approach
Insertion of Monoplanar External Fixation Device into Right Radius, Open Approach",General Surgery,General,13
0PRR0,"Replacement of Right Thumb Phalanx with Autologous Tissue Substitute, Open Approach
Replacement of Right Thumb Phalanx with Synthetic Substitute, Open Approach
Replacement of Right Thumb Phalanx with Nonautologous Tissue Substitute, Open Approach",General Surgery,General,13
0PH00,"Insertion of Rigid Plate Internal Fixation Device into Sternum, Open Approach
Insertion of Internal Fixation Device into Sternum, Open Approach",General Surgery,General,13
0JB00,"Excision of Scalp Subcutaneous Tissue and Fascia, Open Approach, Diagnostic
Excision of Scalp Subcutaneous Tissue and Fascia, Open Approach",General Surgery,General,13
09BQ8,"Excision of Right Maxillary Sinus, Via Natural or Artificial Opening Endoscopic, Diagnostic
Excision of Right Maxillary Sinus, Via Natural or Artificial Opening Endoscopic",Tympanoplasty,ENT,6
08QJ0,,General Surgery,General,13
0TCB8,"Extirpation of Matter from Bladder, Via Natural or Artificial Opening Endoscopic",Urinary Surgery,Renal,3
05DY0,"Extraction of Upper Vein, Open Approach",General Surgery,General,13
0DTG4,"Resection of Left Large Intestine, Percutaneous Endoscopic Approach",General Surgery,General,13
0BTK0,"Resection of Right Lung, Open Approach",Lung Surgery,Pulmonary,9
0PS03,"Reposition Sternum with Rigid Plate Internal Fixation Device, Percutaneous Approach
Reposition Sternum with Internal Fixation Device, Percutaneous Approach
Reposition Sternum, Percutaneous Approach",General Surgery,General,13
0TTB4,"Resection of Bladder, Percutaneous Endoscopic Approach",Urinary Surgery,Renal,3
0UB90,"Excision of Uterus, Open Approach, Diagnostic
Excision of Uterus, Open Approach",General Surgery,General,13
0GBR0,"Excision of Parathyroid Gland, Open Approach, Diagnostic
Excision of Parathyroid Gland, Open Approach",Thyroid Surgery,Endocrine,11
099B0,"Drainage of Right Mastoid Sinus with Drainage Device, Open Approach
Drainage of Right Mastoid Sinus, Open Approach, Diagnostic
Drainage of Right Mastoid Sinus, Open Approach",Tympanoplasty,ENT,6
0BBC4,"Excision of Right Upper Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic
Excision of Right Upper Lung Lobe, Percutaneous Endoscopic Approach",Lung Surgery,Pulmonary,9
0TBB8,"Excision of Bladder, Via Natural or Artificial Opening Endoscopic, Diagnostic
Excision of Bladder, Via Natural or Artificial Opening Endoscopic",Urinary Surgery,Renal,3
0TJ94,"Inspection of Ureter, Percutaneous Endoscopic Approach",General Surgery,General,13
0DTJ0,"Resection of Appendix, Open Approach",General Surgery,General,13
0VQN0,"Repair Right Vas Deferens, Open Approach",General Surgery,General,13
0NHR0,"Insertion of Internal Fixation Device into Maxilla, Open Approach
Insertion of External Fixation Device into Maxilla, Open Approach",General Surgery,General,13
0NQTX,"Repair Right Mandible, External Approach",General Surgery,General,13
0GQK0,"Repair Thyroid Gland, Open Approach",Thyroid Surgery,Endocrine,11
0DBP3,"Excision of Rectum, Percutaneous Approach, Diagnostic
Excision of Rectum, Percutaneous Approach",General Surgery,General,13
0SGH0,"Fusion of Right Tarsal Joint with Sustained Compression Internal Fixation Device, Open Approach
Fusion of Right Tarsal Joint with Internal Fixation Device, Open Approach
Fusion of Right Tarsal Joint with External Fixation Device, Open Approach
Fusion of Right Tarsal Joint with Autologous Tissue Substitute, Open Approach
Fusion of Right Tarsal Joint with Synthetic Substitute, Open Approach",Orthopedic Surgery,Orthopedic,5
0W3G0,"Control Bleeding in Peritoneal Cavity, Open Approach",General Surgery,General,13
0DB50,"Excision of Esophagus, Open Approach, Diagnostic
Excision of Esophagus, Open Approach",General Surgery,General,13
0TT04,"Resection of Right Kidney, Percutaneous Endoscopic Approach",Kidney Transplant,Renal,3
0DB40,"Excision of Esophagogastric Junction, Open Approach, Diagnostic
Excision of Esophagogastric Junction, Open Approach",General Surgery,General,13
0PRS0,"Replacement of Left Thumb Phalanx with Autologous Tissue Substitute, Open Approach
Replacement of Left Thumb Phalanx with Synthetic Substitute, Open Approach
Replacement of Left Thumb Phalanx with Nonautologous Tissue Substitute, Open Approach",General Surgery,General,13
0A0D7,,General Surgery,General,13
0UT9F,"Resection of Uterus, Supracervical, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance
Resection of Uterus, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance",General Surgery,General,13
0RHW0,"Insertion of Infusion Device into Right Finger Phalangeal Joint, Open Approach
Insertion of Internal Fixation Device into Right Finger Phalangeal Joint, Open Approach
Insertion of External Fixation Device into Right Finger Phalangeal Joint, Open Approach
Insertion of Spacer into Right Finger Phalangeal Joint, Open Approach",Orthopedic Surgery,Orthopedic,5
07TP4,"Resection of Spleen, Percutaneous Endoscopic Approach",General Surgery,General,13
0TTB0,"Resection of Bladder, Open Approach",Urinary Surgery,Renal,3
08DJ0,,General Surgery,General,13
0TBB0,"Excision of Bladder, Open Approach, Diagnostic
Excision of Bladder, Open Approach",Urinary Surgery,Renal,3
02RF0,"Replacement of Aortic Valve with Autologous Tissue Substitute, Open Approach
Replacement of Aortic Valve with Zooplastic Tissue, using Rapid Deployment Technique, Open Approach
Replacement of Aortic Valve with Zooplastic Tissue, Open Approach
Replacement of Aortic Valve with Synthetic Substitute, Open Approach
Replacement of Aortic Valve with Nonautologous Tissue Substitute, Open Approach",General Surgery,General,13
02B60,"Excision of Right Atrium, Open Approach, Diagnostic
Excision of Right Atrium, Open Approach",General Surgery,General,13
0BTJ4,"Resection of Left Lower Lung Lobe, Percutaneous Endoscopic Approach",Lung Surgery,Pulmonary,9
0FBG0,"Excision of Pancreas, Open Approach, Diagnostic
Excision of Pancreas, Open Approach",General Surgery,General,13
0HB0X,"Excision of Scalp Skin, External Approach, Diagnostic
Excision of Scalp Skin, External Approach",General Surgery,General,13
0VB00,"Excision of Prostate, Open Approach, Diagnostic
Excision of Prostate, Open Approach",General Surgery,General,13
0USG0,"Reposition Vagina, Open Approach",General Surgery,General,13
09B10,"Excision of Left External Ear, Open Approach, Diagnostic
Excision of Left External Ear, Open Approach",Ear Surgery,ENT,6
0W3D0,"Control Bleeding in Pericardial Cavity, Open Approach",General Surgery,General,13
0HR0X,"Replacement of Scalp Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Replacement of Scalp Skin with Autologous Tissue Substitute, Full Thickness, External Approach
Replacement of Scalp Skin with Autologous Tissue Substitute, Partial Thickness, External Approach
Replacement of Scalp Skin with Synthetic Substitute, Full Thickness, External Approach
Replacement of Scalp Skin with Synthetic Substitute, Partial Thickness, External Approach",General Surgery,General,13
0PBJ0,"Excision of Left Radius, Open Approach, Diagnostic
Excision of Left Radius, Open Approach",General Surgery,General,13
0BB10,"Excision of Trachea, Open Approach, Diagnostic
Excision of Trachea, Open Approach",General Surgery,General,13
0CB80,"Excision of Right Parotid Gland, Open Approach, Diagnostic
Excision of Right Parotid Gland, Open Approach",General Surgery,General,13
0MBN4,"Excision of Right Knee Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic
Excision of Right Knee Bursa and Ligament, Percutaneous Endoscopic Approach",Hip Replacement,Orthopedic,5
0SRC0,"Replacement of Right Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Cemented, Open Approach
Replacement of Right Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Uncemented, Open Approach
Replacement of Right Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Open Approach
Replacement of Right Knee Joint with Autologous Tissue Substitute, Open Approach
Replacement of Right Knee Joint with Articulating Spacer, Open Approach",Hip Replacement,Orthopedic,5
0SGG0,"Fusion of Left Ankle Joint with Sustained Compression Internal Fixation Device, Open Approach
Fusion of Left Ankle Joint with Internal Fixation Device, Open Approach
Fusion of Left Ankle Joint with External Fixation Device, Open Approach
Fusion of Left Ankle Joint with Autologous Tissue Substitute, Open Approach
Fusion of Left Ankle Joint with Synthetic Substitute, Open Approach",Orthopedic Surgery,Orthopedic,5
09HD0,"Insertion of Radioactive Element into Right Inner Ear, Open Approach
Insertion of Bone Conduction Hearing Device into Right Inner Ear, Open Approach
Insertion of Single Channel Cochlear Prosthesis into Right Inner Ear, Open Approach
Insertion of Multiple Channel Cochlear Prosthesis into Right Inner Ear, Open Approach
Insertion of Hearing Device into Right Inner Ear, Open Approach",Ear Surgery,ENT,6
0R900,"Drainage of Occipital-cervical Joint with Drainage Device, Open Approach
Drainage of Occipital-cervical Joint, Open Approach, Diagnostic
Drainage of Occipital-cervical Joint, Open Approach",Orthopedic Surgery,Orthopedic,5
0DB54,"Excision of Esophagus, Percutaneous Endoscopic Approach, Diagnostic
Excision of Esophagus, Percutaneous Endoscopic Approach",General Surgery,General,13
0DTG0,"Resection of Left Large Intestine, Open Approach",General Surgery,General,13
0T160,"Bypass Right Ureter to Right Ureter with Autologous Tissue Substitute, Open Approach
Bypass Right Ureter to Left Ureter with Autologous Tissue Substitute, Open Approach
Bypass Right Ureter to Colon with Autologous Tissue Substitute, Open Approach
Bypass Right Ureter to Colocutaneous with Autologous Tissue Substitute, Open Approach
Bypass Right Ureter to Ileum with Autologous Tissue Substitute, Open Approach",Valve Replacement,Cardiac,1
0SHF0,"Insertion of Infusion Device into Right Ankle Joint, Open Approach
Insertion of Internal Fixation Device into Right Ankle Joint, Open Approach
Insertion of External Fixation Device into Right Ankle Joint, Open Approach
Insertion of Spacer into Right Ankle Joint, Open Approach",Orthopedic Surgery,Orthopedic,5
0LQ14,"Repair Right Shoulder Tendon, Percutaneous Endoscopic Approach",General Surgery,General,13
0PHC3,"Insertion of Internal Fixation Device into Right Humeral Head, Percutaneous Approach
Insertion of External Fixation Device into Right Humeral Head, Percutaneous Approach
Insertion of Intramedullary Internal Fixation Device into Right Humeral Head, Percutaneous Approach
Insertion of Limb Lengthening External Fixation Device into Right Humeral Head, Percutaneous Approach
Insertion of Monoplanar External Fixation Device into Right Humeral Head, Percutaneous Approach",General Surgery,General,13
08SN0,"Reposition Right Upper Eyelid, Open Approach",Eye Surgery,Ophthalmological,12
08SL0,"Reposition Right Extraocular Muscle, Open Approach",Eye Surgery,Ophthalmological,12
09870,,General Surgery,General,13
0BBF4,"Excision of Right Lower Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic
Excision of Right Lower Lung Lobe, Percutaneous Endoscopic Approach",Lung Surgery,Pulmonary,9
0WUF0,"Supplement Abdominal Wall with Autologous Tissue Substitute, Open Approach
Supplement Abdominal Wall with Synthetic Substitute, Open Approach
Supplement Abdominal Wall with Nonautologous Tissue Substitute, Open Approach",General Surgery,General,13
0WQF0,"Repair Abdominal Wall, Open Approach",General Surgery,General,13
0K900,"Drainage of Head Muscle with Drainage Device, Open Approach
Drainage of Head Muscle, Open Approach, Diagnostic
Drainage of Head Muscle, Open Approach",General Surgery,General,13
0SQC0,"Repair Right Knee Joint, Open Approach",Hip Replacement,Orthopedic,5
0PHCX,,General Surgery,General,13
08D43,,General Surgery,General,13
0BBG4,"Excision of Left Upper Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic
Excision of Left Upper Lung Lobe, Percutaneous Endoscopic Approach",Lung Surgery,Pulmonary,9
